name,sis_id,login_id,email,time_zone
Betty Garrett,845390,tbyington+Betty.Garrett@instructure.com,tbyington+Betty.Garrett@instructure.com,Bucharest
Walter Bryant,142969,tbyington+Walter.Bryant@instructure.com,tbyington+Walter.Bryant@instructure.com,Volgograd
Arthur Hicks,244149,tbyington+Arthur.Hicks@instructure.com,tbyington+Arthur.Hicks@instructure.com,Kabul
Ryan Peterson,365159,tbyington+Ryan.Peterson@instructure.com,tbyington+Ryan.Peterson@instructure.com,St. Petersburg
Maria Harrison,835498,tbyington+Maria.Harrison@instructure.com,tbyington+Maria.Harrison@instructure.com,Rangoon
Theresa Alexander,659688,tbyington+Theresa.Alexander@instructure.com,tbyington+Theresa.Alexander@instructure.com,Wellington
Samuel Olson,281949,tbyington+Samuel.Olson@instructure.com,tbyington+Samuel.Olson@instructure.com,Tokyo
Diana Woods,530736,tbyington+Diana.Woods@instructure.com,tbyington+Diana.Woods@instructure.com,Prague
John Ross,41242,tbyington+John.Ross@instructure.com,tbyington+John.Ross@instructure.com,Quito
Antonio Fowler,709304,tbyington+Antonio.Fowler@instructure.com,tbyington+Antonio.Fowler@instructure.com,Wellington
Frank Fisher,341318,tbyington+Frank.Fisher@instructure.com,tbyington+Frank.Fisher@instructure.com,Almaty
Stephanie Rivera,697204,tbyington+Stephanie.Rivera@instructure.com,tbyington+Stephanie.Rivera@instructure.com,Yakutsk
Brian Dean,18155,tbyington+Brian.Dean@instructure.com,tbyington+Brian.Dean@instructure.com,Tashkent
Stephanie Carr,559593,tbyington+Stephanie.Carr@instructure.com,tbyington+Stephanie.Carr@instructure.com,Tashkent
Louis Wheeler,237070,tbyington+Louis.Wheeler@instructure.com,tbyington+Louis.Wheeler@instructure.com,Monrovia
Lillian Berry,810074,tbyington+Lillian.Berry@instructure.com,tbyington+Lillian.Berry@instructure.com,Lima
Ruby Freeman,152850,tbyington+Ruby.Freeman@instructure.com,tbyington+Ruby.Freeman@instructure.com,Riyadh
Jonathan Fox,465431,tbyington+Jonathan.Fox@instructure.com,tbyington+Jonathan.Fox@instructure.com,Karachi
Patricia Arnold,485567,tbyington+Patricia.Arnold@instructure.com,tbyington+Patricia.Arnold@instructure.com,Skopje
Ralph Alvarez,96668,tbyington+Ralph.Alvarez@instructure.com,tbyington+Ralph.Alvarez@instructure.com,Kabul
Kelly Jordan,499191,tbyington+Kelly.Jordan@instructure.com,tbyington+Kelly.Jordan@instructure.com,Riga
Margaret Robinson,308084,tbyington+Margaret.Robinson@instructure.com,tbyington+Margaret.Robinson@instructure.com,Mountain Time (US & Canada)
Stephen Kelley,485532,tbyington+Stephen.Kelley@instructure.com,tbyington+Stephen.Kelley@instructure.com,Greenland
Stephanie Patterson,61124,tbyington+Stephanie.Patterson@instructure.com,tbyington+Stephanie.Patterson@instructure.com,Osaka
Billy Snyder,480188,tbyington+Billy.Snyder@instructure.com,tbyington+Billy.Snyder@instructure.com,Rome
Andrea James,819957,tbyington+Andrea.James@instructure.com,tbyington+Andrea.James@instructure.com,Riyadh
Elizabeth Franklin,94088,tbyington+Elizabeth.Franklin@instructure.com,tbyington+Elizabeth.Franklin@instructure.com,Hanoi
Brandon Mcdonald,582228,tbyington+Brandon.Mcdonald@instructure.com,tbyington+Brandon.Mcdonald@instructure.com,Singapore
Edward Ward,640618,tbyington+Edward.Ward@instructure.com,tbyington+Edward.Ward@instructure.com,Tbilisi
Michelle Gomez,718161,tbyington+Michelle.Gomez@instructure.com,tbyington+Michelle.Gomez@instructure.com,Tbilisi
Irene Allen,317533,tbyington+Irene.Allen@instructure.com,tbyington+Irene.Allen@instructure.com,Chihuahua
Scott Burke,923514,tbyington+Scott.Burke@instructure.com,tbyington+Scott.Burke@instructure.com,Mountain Time (US & Canada)
Bruce Collins,714871,tbyington+Bruce.Collins@instructure.com,tbyington+Bruce.Collins@instructure.com,Fiji
Martin Morgan,653743,tbyington+Martin.Morgan@instructure.com,tbyington+Martin.Morgan@instructure.com,Hanoi
Dorothy Henderson,899656,tbyington+Dorothy.Henderson@instructure.com,tbyington+Dorothy.Henderson@instructure.com,Yerevan
Sandra George,897557,tbyington+Sandra.George@instructure.com,tbyington+Sandra.George@instructure.com,Sri Jayawardenepura
Keith Reid,245564,tbyington+Keith.Reid@instructure.com,tbyington+Keith.Reid@instructure.com,Marshall Is.
Harold Morales,896982,tbyington+Harold.Morales@instructure.com,tbyington+Harold.Morales@instructure.com,Vilnius
Mark Spencer,783389,tbyington+Mark.Spencer@instructure.com,tbyington+Mark.Spencer@instructure.com,Pacific Time (US & Canada)
Louise Mendoza,37318,tbyington+Louise.Mendoza@instructure.com,tbyington+Louise.Mendoza@instructure.com,Kabul
Lois Ward,984939,tbyington+Lois.Ward@instructure.com,tbyington+Lois.Ward@instructure.com,Helsinki
Frank Fernandez,939046,tbyington+Frank.Fernandez@instructure.com,tbyington+Frank.Fernandez@instructure.com,Central Time (US & Canada)
Randy Kim,754488,tbyington+Randy.Kim@instructure.com,tbyington+Randy.Kim@instructure.com,Hong Kong
Brenda Williamson,608300,tbyington+Brenda.Williamson@instructure.com,tbyington+Brenda.Williamson@instructure.com,Harare
Sharon Johnston,158352,tbyington+Sharon.Johnston@instructure.com,tbyington+Sharon.Johnston@instructure.com,Ljubljana
Cynthia Jacobs,157457,tbyington+Cynthia.Jacobs@instructure.com,tbyington+Cynthia.Jacobs@instructure.com,Midway Island
Melissa Gibson,593228,tbyington+Melissa.Gibson@instructure.com,tbyington+Melissa.Gibson@instructure.com,Monterrey
Harold Gomez,281362,tbyington+Harold.Gomez@instructure.com,tbyington+Harold.Gomez@instructure.com,Mumbai
Louis Harris,722295,tbyington+Louis.Harris@instructure.com,tbyington+Louis.Harris@instructure.com,Bern
Peter Freeman,267464,tbyington+Peter.Freeman@instructure.com,tbyington+Peter.Freeman@instructure.com,Riyadh
Nicholas Sanchez,621688,tbyington+Nicholas.Sanchez@instructure.com,tbyington+Nicholas.Sanchez@instructure.com,Tbilisi
Willie Williams,757876,tbyington+Willie.Williams@instructure.com,tbyington+Willie.Williams@instructure.com,Adelaide
Judith Bailey,937788,tbyington+Judith.Bailey@instructure.com,tbyington+Judith.Bailey@instructure.com,Yerevan
Jerry Grant,891183,tbyington+Jerry.Grant@instructure.com,tbyington+Jerry.Grant@instructure.com,Dhaka
Peter Boyd,624068,tbyington+Peter.Boyd@instructure.com,tbyington+Peter.Boyd@instructure.com,Seoul
Judy Henderson,202802,tbyington+Judy.Henderson@instructure.com,tbyington+Judy.Henderson@instructure.com,Skopje
Robin Hernandez,873766,tbyington+Robin.Hernandez@instructure.com,tbyington+Robin.Hernandez@instructure.com,Lima
Steve Harris,844443,tbyington+Steve.Harris@instructure.com,tbyington+Steve.Harris@instructure.com,Yakutsk
Theresa Hill,848841,tbyington+Theresa.Hill@instructure.com,tbyington+Theresa.Hill@instructure.com,Ekaterinburg
Virginia Martin,842534,tbyington+Virginia.Martin@instructure.com,tbyington+Virginia.Martin@instructure.com,Vladivostok
Karen Stevens,761565,tbyington+Karen.Stevens@instructure.com,tbyington+Karen.Stevens@instructure.com,Lima
Ashley Clark,450293,tbyington+Ashley.Clark@instructure.com,tbyington+Ashley.Clark@instructure.com,Lima
Sandra Rice,696327,tbyington+Sandra.Rice@instructure.com,tbyington+Sandra.Rice@instructure.com,Marshall Is.
Ruby Stevens,885858,tbyington+Ruby.Stevens@instructure.com,tbyington+Ruby.Stevens@instructure.com,Mumbai
